start,game_id,player_id,time_in,goals,cards
S,6,15,NULL,NULL,NULL
S,6,18,NULL,NULL,NULL
S,6,22,NULL,NULL,NULL
B,6,23,45,NULL,NULL
B,6,26,90,NULL,NULL
B,6,32,90,1,NULL
B,6,66,90,NULL,NULL
S,7,3,NULL,NULL,NULL
B,7,4,90,NULL,NULL
B,7,5,90,NULL,NULL
B,7,7,86,0,Y
S,7,8,12,NULL,NULL
B,7,9,90,NULL,NULL
B,7,10,90,0,Y
B,7,11,66,NULL,NULL
B,7,12,90,NULL,NULL
B,7,13,90,NULL,NULL
B,7,14,78,NULL,NULL
S,7,15,4,1,NULL
S,7,18,NULL,NULL,NULL
S,7,22,NULL,NULL,NULL
S,7,23,24,NULL,NULL
B,7,26,90,NULL,NULL
S,7,32,NULL,NULL,NULL
B,7,66,90,NULL,NULL
S,8,3,NULL,NULL,NULL
B,8,4,90,NULL,NULL
B,8,5,90,0,Y
B,8,6,90,NULL,NULL
B,8,7,29,NULL,NULL
S,8,8,61,NULL,NULL
B,8,9,72,NULL,NULL
B,8,10,90,NULL,NULL
B,8,11,66,NULL,NULL
B,8,12,90,NULL,NULL
B,8,13,90,NULL,NULL
B,8,14,90,NULL,NULL
S,8,15,18,NULL,NULL
S,8,22,NULL,NULL,NULL
S,8,23,NULL,NULL,NULL
B,8,26,90,NULL,NULL
S,8,32,NULL,NULL,NULL
S,8,66,NULL,NULL,NULL
S,9,3,21,NULL,NULL
B,9,4,90,NULL,NULL
S,9,5,45,NULL,NULL
B,9,6,90,NULL,NULL
B,9,7,77,NULL,NULL
S,9,9,13,NULL,NULL
B,9,11,90,1,NULL
B,9,12,90,NULL,NULL
B,9,13,90,NULL,NULL
B,9,14,45,NULL,NULL
B,9,15,90,0,Y
B,9,20,69,0,Y
S,9,22,NULL,NULL,NULL
B,9,23,90,NULL,NULL
B,9,26,90,NULL,NULL
S,9,27,NULL,NULL,NULL
S,9,32,NULL,NULL,NULL
S,9,66,NULL,NULL,NULL
B,10,3,90,NULL,NULL
B,10,4,90,NULL,NULL
B,10,5,90,NULL,NULL
B,10,6,90,NULL,NULL
S,10,7,19,NULL,NULL
B,10,9,71,NULL,NULL
B,10,10,90,2,NULL
B,10,11,90,1,NULL
S,10,12,NULL,NULL,NULL
B,10,13,90,NULL,NULL
S,10,15,NULL,NULL,NULL
B,10,18,90,NULL,NULL
B,10,20,61,NULL,NULL
S,10,22,NULL,NULL,NULL
S,10,23,29,1,NULL
S,10,26,NULL,NULL,NULL
S,10,32,NULL,NULL,NULL
B,10,66,90,NULL,NULL
B,11,3,90,0,Y
B,11,4,90,NULL,NULL
B,11,5,90,NULL,NULL
B,11,7,90,0,NULL
B,11,9,80,NULL,NULL
B,11,10,90,NULL,NULL
B,11,11,89,NULL,NULL
B,11,12,90,NULL,NULL
B,11,13,90,NULL,NULL
S,11,15,NULL,NULL,NULL
S,11,18,NULL,NULL,NULL
S,11,20,NULL,NULL,NULL
S,11,22,NULL,NULL,NULL
S,11,23,10,NULL,NULL
B,11,26,90,NULL,NULL
S,11,27,NULL,NULL,NULL
S,11,32,1,NULL,NULL
B,11,66,90,NULL,NULL
B,12,3,89,NULL,NULL
B,12,4,90,NULL,NULL
B,12,5,69,NULL,NULL
S,12,6,NULL,NULL,NULL
S,12,7,9,NULL,NULL
S,12,8,1,NULL,NULL
B,12,9,90,NULL,NULL
B,12,10,90,NULL,NULL
B,12,11,90,1,NULL
B,12,12,90,0,Y
B,12,13,90,NULL,NULL
S,12,14,21,NULL,NULL
S,12,15,NULL,NULL,NULL
S,12,18,NULL,NULL,NULL
S,12,22,NULL,NULL,NULL
B,12,23,81,1,NULL
B,12,26,90,NULL,NULL
B,12,66,90,NULL,NULL
S,13,2,NULL,NULL,NULL
S,13,3,4,NULL,NULL
B,13,4,90,NULL,NULL
B,13,5,90,NULL,NULL
B,13,6,90,NULL,NULL
S,13,7,16,NULL,NULL
S,13,8,NULL,NULL,NULL
B,13,9,89,1,NULL
B,13,10,90,NULL,NULL
B,13,11,86,1,NULL
B,13,13,90,NULL,NULL
B,13,14,82,0,Y
S,13,15,NULL,NULL,NULL
S,13,22,NULL,NULL,NULL
B,13,23,74,NULL,NULL
B,13,26,90,NULL,NULL
S,13,32,1,NULL,NULL
B,13,66,90,1,NULL
B,14,3,90,0,Y
B,14,4,90,NULL,NULL
B,14,5,90,NULL,NULL
S,14,7,NULL,NULL,NULL
S,14,8,19,NULL,NULL
B,14,9,84,NULL,NULL
B,14,10,90,NULL,NULL
B,14,11,75,NULL,NULL
B,14,12,90,0,Y
B,14,13,90,NULL,NULL
S,14,15,15,NULL,NULL
S,14,18,NULL,NULL,NULL
S,14,22,NULL,NULL,NULL
B,14,23,71,0,Y
B,14,26,90,NULL,NULL
S,14,27,6,1,NULL
S,14,32,NULL,NULL,NULL
B,14,66,90,NULL,NULL
S,15,3,NULL,NULL,NULL
B,15,4,90,NULL,NULL
B,15,7,90,0,NULL
B,15,8,90,NULL,NULL
S,15,9,24,1,NULL
S,15,11,25,NULL,NULL
B,15,12,23,NULL,NULL
B,15,13,90,NULL,NULL
B,15,14,90,NULL,NULL
B,15,15,90,NULL,NULL
B,15,18,65,NULL,NULL
S,15,20,NULL,NULL,NULL
S,15,22,NULL,NULL,NULL
B,15,23,90,1,NULL
B,15,27,66,NULL,NULL
B,15,32,90,NULL,NULL
S,15,64,NULL,NULL,NULL
S,15,66,67,NULL,NULL
B,16,3,90,0,Y
B,16,4,90,NULL,NULL
B,16,5,90,NULL,NULL
B,16,7,90,NULL,NULL
B,16,8,65,NULL,NULL
B,16,9,81,NULL,NULL
S,16,10,25,NULL,NULL
B,16,11,90,0,Y2
B,16,13,90,NULL,NULL
S,16,14,9,NULL,NULL
S,16,15,NULL,NULL,NULL
S,16,20,25,NULL,NULL
S,16,22,NULL,NULL,NULL
B,16,23,65,NULL,NULL
B,16,26,90,NULL,NULL
S,16,27,NULL,NULL,NULL
B,16,32,90,NULL,NULL
S,16,66,NULL,NULL,NULL
B,17,2,90,NULL,NULL
B,17,3,90,NULL,NULL
B,17,4,90,NULL,NULL
B,17,5,90,NULL,NULL
B,17,6,90,NULL,NULL
B,17,8,70,NULL,NULL
B,17,9,90,NULL,NULL
B,17,10,84,1,NULL
B,17,11,90,NULL,NULL
B,17,13,90,NULL,NULL
S,17,14,6,NULL,NULL
S,17,15,NULL,NULL,NULL
S,17,18,NULL,NULL,NULL
S,17,20,NULL,NULL,NULL
S,17,22,NULL,NULL,NULL
S,17,23,20,0,NULL
B,17,26,90,NULL,NULL
S,17,64,NULL,NULL,NULL
S,18,2,3,NULL,NULL
B,18,3,90,NULL,NULL
B,18,4,90,1,NULL
S,18,5,24,NULL,NULL
B,18,6,90,NULL,NULL
B,18,7,90,NULL,NULL
B,18,8,58,NULL,NULL
B,18,9,76,NULL,NULL
B,18,10,87,NULL,NULL
B,18,11,90,1,NULL
B,18,13,90,NULL,NULL
B,18,14,90,NULL,NULL
S,18,15,NULL,NULL,NULL
S,18,20,32,NULL,NULL
S,18,22,NULL,NULL,NULL
S,18,23,NULL,NULL,NULL
B,18,26,90,NULL,NULL
S,18,27,NULL,NULL,NULL
S,19,2,8,NULL,NULL
S,19,3,28,1,NULL
B,19,4,90,NULL,NULL
B,19,5,62,NULL,NULL
B,19,6,90,1,NULL
S,19,8,NULL,NULL,NULL
B,19,9,69,NULL,NULL
B,19,10,90,NULL,NULL
B,19,11,90,0,NULL
B,19,13,90,NULL,NULL
B,19,14,90,NULL,NULL
S,19,15,21,NULL,NULL
S,19,20,NULL,NULL,NULL
S,19,22,NULL,NULL,NULL
B,19,23,90,1,NULL
B,19,26,82,NULL,NULL
S,19,27,NULL,NULL,NULL
B,19,66,90,NULL,NULL
S,20,2,7,NULL,NULL
B,20,3,90,NULL,NULL
B,20,4,90,NULL,NULL
B,20,5,78,NULL,NULL
B,20,6,90,NULL,NULL
S,20,8,NULL,NULL,NULL
B,20,9,90,0,Y2
B,20,10,62,0,NULL
B,20,11,90,1,NULL
B,20,13,90,NULL,NULL
S,20,14,28,NULL,NULL
S,20,15,NULL,NULL,NULL
S,20,20,12,NULL,NULL
S,20,22,NULL,NULL,NULL
B,20,23,90,NULL,NULL
B,20,26,83,0,Y
S,20,27,NULL,NULL,NULL
B,20,66,90,NULL,NULL
S,21,3,23,NULL,NULL
B,21,4,90,NULL,NULL
B,21,5,86,0,Y
B,21,6,90,0,Y
B,21,7,57,NULL,NULL
S,21,8,NULL,NULL,NULL
B,21,9,90,1,NULL
B,21,10,77,NULL,NULL
B,21,11,90,NULL,NULL
B,21,13,90,NULL,NULL
B,21,14,90,NULL,NULL
S,21,15,4,NULL,NULL
S,21,18,NULL,NULL,NULL
S,21,20,NULL,NULL,NULL
S,21,22,NULL,NULL,NULL
S,21,23,13,NULL,NULL
B,21,26,90,NULL,NULL
B,21,66,90,NULL,NULL
B,22,3,90,NULL,NULL
B,22,4,90,NULL,NULL
B,22,5,90,NULL,NULL
S,22,7,18,NULL,NULL
S,22,8,1,NULL,NULL
B,22,9,90,NULL,NULL
B,22,10,89,NULL,NULL
B,22,11,89,1,NULL
B,22,13,90,NULL,NULL
B,22,14,90,NULL,NULL
S,22,18,NULL,NULL,NULL
S,22,22,NULL,NULL,NULL
B,22,23,72,NULL,NULL
B,22,26,90,NULL,NULL
S,22,27,1,NULL,NULL
S,22,32,NULL,NULL,NULL
S,22,64,NULL,NULL,NULL
B,22,66,90,NULL,NULL
B,23,3,87,NULL,NULL
B,23,4,90,NULL,NULL
B,23,7,89,0,Y
B,23,8,71,NULL,NULL
B,23,9,90,1,NULL
B,23,10,90,1,NULL
B,23,11,89,0,NULL
B,23,13,90,NULL,NULL
B,23,14,90,NULL,NULL
S,23,15,NULL,NULL,NULL
S,23,18,NULL,NULL,NULL
S,23,20,3,NULL,NULL
S,23,22,NULL,NULL,NULL
S,23,23,19,NULL,NULL
B,23,26,90,NULL,NULL
S,23,27,NULL,NULL,NULL
B,23,32,90,NULL,NULL
S,23,64,1,NULL,NULL
S,24,3,23,NULL,NULL
B,24,4,90,NULL,NULL
B,24,5,90,NULL,NULL
S,24,6,NULL,NULL,NULL
B,24,8,66,NULL,NULL
B,24,9,82,NULL,NULL
B,24,10,90,1,NULL
B,24,11,90,NULL,NULL
B,24,13,90,NULL,NULL
B,24,14,90,NULL,NULL
S,24,15,8,NULL,NULL
S,24,20,24,NULL,NULL
S,24,22,NULL,NULL,NULL
B,24,23,67,NULL,NULL
B,24,26,90,NULL,NULL
S,24,27,NULL,NULL,NULL
B,24,32,90,0,Y
S,24,64,NULL,NULL,NULL
B,25,3,90,NULL,NULL
B,25,4,90,NULL,NULL
B,25,7,90,NULL,NULL
B,25,8,90,NULL,NULL
B,25,9,75,NULL,NULL
B,25,10,90,0,NULL
B,25,11,90,NULL,NULL
B,25,13,90,NULL,NULL
S,25,15,NULL,NULL,NULL
S,25,18,NULL,NULL,NULL
B,25,20,69,NULL,NULL
S,25,22,NULL,NULL,NULL
S,25,23,21,NULL,NULL
B,25,26,90,NULL,NULL
S,25,27,15,NULL,NULL
B,25,32,90,0,Y
S,25,48,NULL,NULL,NULL
S,25,64,NULL,NULL,NULL
B,26,3,90,NULL,NULL
B,26,4,90,NULL,NULL
B,26,5,77,1,NULL
B,26,7,90,NULL,NULL
B,26,8,90,NULL,NULL
B,26,9,89,NULL,NULL
B,26,10,87,0,NULL
B,26,11,90,1,NULL
B,26,13,90,NULL,NULL
S,26,14,NULL,NULL,NULL
S,26,15,1,NULL,NULL
S,26,20,NULL,NULL,NULL
S,26,22,NULL,NULL,NULL
B,26,26,90,0,Y
S,26,27,3,NULL,NULL
B,26,32,90,0,Y
S,26,64,NULL,NULL,NULL
S,26,66,13,NULL,NULL
B,27,3,90,NULL,NULL
B,27,4,90,NULL,NULL
B,27,5,90,0,Y
B,27,7,90,0,Y
S,27,8,NULL,NULL,NULL
B,27,9,31,NULL,NULL
B,27,10,90,NULL,NULL
B,27,11,79,NULL,NULL
B,27,13,90,NULL,NULL
B,27,14,72,NULL,NULL
S,27,15,59,NULL,NULL
S,27,20,NULL,NULL,NULL
S,27,22,NULL,NULL,NULL
S,27,23,18,0,Y
B,27,26,90,NULL,NULL
S,27,27,11,NULL,NULL
B,27,32,90,NULL,NULL
S,27,66,NULL,NULL,NULL
B,28,3,90,NULL,NULL
B,28,4,90,2,NULL
B,28,5,84,0,Y
B,28,7,70,NULL,NULL
S,28,8,6,NULL,NULL
B,28,10,78,0,NULL
B,28,11,90,NULL,NULL
B,28,13,90,NULL,NULL
S,28,14,20,NULL,NULL
S,28,15,NULL,NULL,NULL
S,28,20,12,NULL,NULL
S,28,22,NULL,NULL,NULL
S,28,23,0,0,Y
B,28,26,90,NULL,NULL
B,28,27,90,1,NULL
B,28,32,90,NULL,NULL
S,28,64,NULL,NULL,NULL
B,28,66,90,NULL,NULL
B,29,3,90,0,Y
B,29,4,90,NULL,NULL
B,29,5,63,0,Y
S,29,7,27,NULL,NULL
S,29,8,NULL,NULL,NULL
S,29,9,27,NULL,NULL
B,29,10,84,NULL,NULL
B,29,11,90,NULL,NULL
B,29,13,90,NULL,NULL
B,29,14,90,NULL,NULL
S,29,15,NULL,NULL,NULL
S,29,20,6,NULL,NULL
S,29,22,NULL,NULL,NULL
S,29,23,NULL,NULL,NULL
B,29,26,90,0,Y
B,29,27,63,NULL,NULL
B,29,32,90,NULL,NULL
B,29,66,90,NULL,NULL
B,30,3,90,0,Y
B,30,4,90,NULL,NULL
B,30,5,68,NULL,NULL
S,30,6,NULL,NULL,NULL
S,30,8,13,NULL,NULL
B,30,9,90,0,NULL
B,30,10,90,0,NULL
B,30,11,90,NULL,NULL
B,30,13,90,0,Y
S,30,14,22,NULL,NULL
S,30,15,4,NULL,NULL
B,30,20,77,NULL,NULL
S,30,22,NULL,NULL,NULL
S,30,23,NULL,NULL,NULL
B,30,26,90,NULL,NULL
S,30,27,NULL,NULL,NULL
B,30,32,90,NULL,NULL
B,30,66,86,NULL,NULL
B,31,3,90,0,Y
B,31,4,90,NULL,NULL
B,31,5,90,NULL,NULL
S,31,6,NULL,NULL,NULL
S,31,7,18,1,NULL
B,31,9,72,NULL,NULL
B,31,10,90,1,NULL
B,31,11,89,NULL,NULL
B,31,13,90,NULL,NULL
S,31,15,1,NULL,NULL
S,31,18,NULL,NULL,NULL
B,31,20,72,NULL,NULL
S,31,22,NULL,NULL,NULL
S,31,23,NULL,NULL,NULL
B,31,26,90,NULL,NULL
S,31,27,18,NULL,NULL
B,31,32,90,NULL,NULL
B,31,66,90,NULL,NULL
S,32,3,13,NULL,NULL
B,32,4,90,NULL,NULL
B,32,5,90,NULL,NULL
S,32,6,1,NULL,NULL
B,32,7,77,NULL,NULL
S,32,8,NULL,NULL,NULL
B,32,9,90,1,NULL
B,32,10,90,NULL,NULL
B,32,11,89,NULL,NULL
B,32,13,90,NULL,NULL
B,32,14,77,NULL,NULL
S,32,20,NULL,NULL,NULL
S,32,22,NULL,NULL,NULL
S,32,23,NULL,NULL,NULL
B,32,26,90,NULL,NULL
S,32,27,13,NULL,NULL
B,32,32,90,NULL,NULL
B,32,66,90,NULL,NULL
B,33,3,90,NULL,NULL
B,33,4,90,NULL,NULL
B,33,5,59,NULL,NULL
S,33,6,2,NULL,NULL
S,33,7,31,NULL,NULL
B,33,8,88,0,NULL
B,33,9,90,NULL,NULL
B,33,10,90,0,Y
B,33,11,90,1,Y
B,33,13,90,NULL,NULL
S,33,14,31,1,Y
S,33,18,NULL,NULL,NULL
S,33,22,NULL,NULL,NULL
S,33,23,NULL,NULL,NULL
B,33,26,90,0,Y
S,33,27,NULL,NULL,NULL
B,33,32,90,NULL,NULL
B,33,66,59,NULL,NULL
B,34,3,90,NULL,NULL
B,34,4,90,NULL,NULL
S,34,5,24,NULL,NULL
S,34,6,NULL,NULL,NULL
S,34,7,13,NULL,NULL
B,34,8,66,NULL,NULL
B,34,9,90,NULL,NULL
B,34,10,89,0,NULL
B,34,11,90,1,NULL
B,34,13,90,NULL,NULL
B,34,14,77,NULL,NULL
S,34,15,NULL,NULL,NULL
S,34,22,NULL,NULL,NULL
S,34,23,1,NULL,NULL
B,34,26,90,NULL,NULL
S,34,27,NULL,NULL,NULL
B,34,32,90,NULL,NULL
B,34,66,59,NULL,NULL
S,35,3,4,NULL,NULL
B,35,4,90,NULL,NULL
B,35,5,90,1,NULL
S,35,7,15,1,Y
B,35,8,71,NULL,NULL
B,35,9,90,NULL,NULL
B,35,10,90,NULL,NULL
B,35,11,90,NULL,NULL
S,35,12,4,NULL,NULL
B,35,13,90,NULL,NULL
B,35,14,90,NULL,NULL
S,35,15,NULL,NULL,NULL
S,35,22,NULL,NULL,NULL
S,35,23,NULL,NULL,NULL
B,35,26,90,NULL,NULL
S,35,27,NULL,NULL,NULL
B,35,32,90,NULL,NULL
B,35,66,86,NULL,NULL
B,36,4,90,NULL,NULL
B,36,5,73,NULL,NULL
B,36,6,90,NULL,NULL
S,36,7,NULL,NULL,NULL
B,36,8,90,1,NULL
B,36,10,90,0,NULL
B,36,11,90,0,NULL
S,36,12,2,NULL,NULL
B,36,13,90,NULL,NULL
B,36,14,90,NULL,NULL
B,36,15,73,NULL,NULL
S,36,21,17,NULL,NULL
S,36,22,NULL,NULL,NULL
S,36,23,17,NULL,NULL
B,36,26,90,NULL,NULL
S,36,27,NULL,NULL,NULL
S,36,32,NULL,NULL,NULL
B,36,66,88,NULL,NULL
B,37,3,90,NULL,NULL
B,37,4,90,1,NULL
B,37,5,66,NULL,NULL
B,37,6,83,NULL,NULL
S,37,7,7,0,Y
B,37,10,90,NULL,NULL
B,37,11,73,1,NULL
S,37,12,NULL,NULL,NULL
B,37,13,90,NULL,NULL
B,37,14,90,NULL,NULL
B,37,15,90,NULL,NULL
S,37,21,NULL,NULL,NULL
S,37,22,NULL,NULL,NULL
S,37,23,24,NULL,NULL
B,37,26,90,NULL,NULL
S,37,27,17,1,NULL
S,37,32,NULL,NULL,NULL
B,37,66,90,NULL,NULL
B,38,3,90,NULL,NULL
B,38,4,90,NULL,NULL
B,38,5,88,NULL,NULL
S,38,6,NULL,NULL,NULL
S,38,7,26,NULL,NULL
B,38,10,90,0,NULL
B,38,11,90,NULL,NULL
S,38,12,6,NULL,NULL
B,38,13,90,NULL,NULL
B,38,14,90,NULL,NULL
S,38,15,NULL,NULL,NULL
S,38,21,2,NULL,NULL
S,38,22,NULL,NULL,NULL
S,38,23,NULL,NULL,NULL
B,38,26,84,NULL,NULL
B,38,27,64,NULL,NULL
B,38,32,90,NULL,NULL
B,38,66,90,NULL,NULL
